table,field,purpose,visible_to,retention,deletion_or_anonymization
users,login,"Вход в систему и служебная идентификация","сам пользователь, администратор","до удаления или обезличивания учетной записи","деактивация/обезличивание администратором"
users,password_hash,"Проверка пароля без хранения исходного пароля","только backend","до удаления учетной записи","удаляется вместе с учетной записью"
users,display_name,"Публичное имя или псевдоним в наблюдениях и комментариях","публично как инициалы/псевдоним; полное значение администратору/экологу","до удаления или обезличивания учетной записи","замена на обезличенное имя"
users,email,"Legacy/служебное поле, не собирается новой регистрацией","администратор при наличии старых данных","до очистки старых данных","очистка скриптом anonymize_pilot_personal_data.py или админкой"
users,privacy_notice_version,"Фиксация версии уведомления ПДн","администратор/backend","до удаления или обезличивания учетной записи","удаляется вместе с учетной записью"
users,privacy_notice_accepted_at,"Фиксация акцепта уведомления ПДн","администратор/backend","до удаления или обезличивания учетной записи","удаляется вместе с учетной записью"
observations,author_id,"Связь наблюдения с автором для модерации и личного кабинета","автор, эколог, администратор; скрыто в публичном API","срок хранения наблюдения","публично обезличивается при anonymize"
observations,location_point,"Проверка места наблюдения и карта биоразнообразия","точно: автор/эколог/админ; публично округлено или скрыто","срок хранения наблюдения","может быть скрыто через sensitive_level"
observations,comment,"Описание наблюдения","публично после подтверждения, если наблюдение видимо","срок хранения наблюдения","удаление/редактирование по процессу модерации"
observations,content_notice_version,"Фиксация версии правил загрузки фото","backend/администратор","срок хранения наблюдения","удаляется вместе с наблюдением"
observations,content_notice_accepted_at,"Фиксация акцепта правил загрузки фото","backend/администратор","срок хранения наблюдения","удаляется вместе с наблюдением"
obs_media,s3_key,"Хранение фото наблюдения","по правам доступа к наблюдению","по срокам хранения медиа","удаление медиа при очистке/TTL"
audit_logs,action,"Аудит входов, модерации и администрирования","администратор","AUDIT_LOG_RETENTION_DAYS","purge audit logs"
audit_logs,actor_id,"Связь действия с пользователем","администратор","AUDIT_LOG_RETENTION_DAYS","purge audit logs"
audit_logs,details,"Служебные детали действий без паролей и токенов","администратор","AUDIT_LOG_RETENTION_DAYS","purge audit logs"
